City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Avarua,CK,2022-12-01 01:40:43,-21.2078,-159.775,82.45,74,40,16.11
1,Port Alfred,ZA,2022-12-01 01:35:51,-33.5906,26.891,65.17,94,100,0.67
2,New Norfolk,AU,2022-12-01 01:40:43,-42.7826,147.0587,60.71,32,13,1.32
3,Sur,OM,2022-12-01 01:40:44,22.5667,59.5289,71.87,57,80,1.68
4,Presidencia Roque Saenz Pena,AR,2022-12-01 01:40:45,-26.7852,-60.4388,79.86,39,52,5.03
5,Punta Arenas,CL,2022-12-01 01:40:45,-53.15,-70.9167,50.11,53,20,37.98
6,Barrow,US,2022-12-01 01:38:57,71.2906,-156.7887,28.42,86,100,6.91
7,Nanortalik,GL,2022-12-01 01:36:24,60.1432,-45.2371,26.91,78,62,32.66
8,Hilo,US,2022-12-01 01:40:46,19.7297,-155.09,86.29,81,0,9.22
9,Saint-Francois,FR,2022-12-01 01:40:46,46.4154,3.9054,42.24,93,100,4.61
10,Viedma,AR,2022-12-01 01:36:22,-40.8135,-62.9967,55.9,67,53,10.4
11,Ulaanbaatar,MN,2022-12-01 01:40:19,47.9077,106.8832,-27.27,68,0,0.0
12,Qaanaaq,GL,2022-12-01 01:40:47,77.484,-69.3632,-22.56,82,17,3.29
13,Ushuaia,AR,2022-12-01 01:40:47,-54.8,-68.3,47.86,57,20,12.66
14,Airai,TL,2022-12-01 01:40:48,-8.9266,125.4092,72.03,67,82,2.15
15,Rikitea,PF,2022-12-01 01:40:48,-23.1203,-134.9692,73.08,73,72,13.13
16,Qaqortoq,GL,2022-12-01 01:40:49,60.7167,-46.0333,19.22,83,53,5.86
17,San Miguel De Sema,CO,2022-12-01 01:40:49,5.5178,-73.7221,51.93,88,96,2.71
18,Nikolskoye,RU,2022-12-01 01:40:49,59.7035,30.7861,22.91,89,97,3.38
19,Esperance,AU,2022-12-01 01:40:50,-33.8667,121.9,82.54,36,0,13.44
20,Bredasdorp,ZA,2022-12-01 01:40:50,-34.5322,20.0403,62.78,81,93,3.74
21,Port Elizabeth,ZA,2022-12-01 01:40:50,-33.918,25.5701,64.09,91,0,1.14
22,Kapaa,US,2022-12-01 01:39:08,22.0752,-159.319,82.72,71,0,20.71
23,Ponta Do Sol,PT,2022-12-01 01:40:51,32.6667,-17.1,69.71,75,71,9.31
24,Asau,RO,2022-12-01 01:40:51,46.4333,26.4,31.28,96,100,2.77
25,Klaksvik,FO,2022-12-01 01:40:52,62.2266,-6.589,49.12,97,100,30.04
26,Marzuq,YE,2022-12-01 01:40:52,14.4,46.4667,58.93,64,0,1.88
27,Iracoubo,GF,2022-12-01 01:40:22,5.4802,-53.2011,76.01,88,90,8.12
28,Cap Malheureux,MU,2022-12-01 01:40:53,-19.9842,57.6142,72.46,75,62,1.99
29,Katsuura,JP,2022-12-01 01:40:53,35.1333,140.3,51.82,83,100,16.67
30,Port-Gentil,GA,2022-12-01 01:40:53,-0.7193,8.7815,78.66,84,100,9.91
31,Raudeberg,NO,2022-12-01 01:40:54,61.9875,5.1352,41.67,72,9,8.55
32,Shimoda,JP,2022-12-01 01:40:54,34.6667,138.95,55.76,87,100,12.64
33,Palauig,PH,2022-12-01 01:40:54,15.435,119.9045,86.77,58,18,1.34
34,Acapulco,MX,2022-12-01 01:40:40,16.8634,-99.8901,80.42,78,100,0.0
35,Sioux Lookout,CA,2022-12-01 01:40:55,50.1001,-91.917,14.07,79,100,16.11
36,Bluff,NZ,2022-12-01 01:37:38,-46.6,168.3333,50.81,64,44,20.78
37,Malartic,CA,2022-12-01 01:40:55,48.1335,-78.1328,28.51,74,99,13.78
38,Paramonga,PE,2022-12-01 01:40:56,-10.6667,-77.8333,67.01,85,98,8.08
39,Bethel,US,2022-12-01 01:40:56,41.3712,-73.414,53.96,58,100,11.5
40,Lucban,PH,2022-12-01 01:41:56,14.1133,121.5569,74.25,89,100,9.35
41,Kahului,US,2022-12-01 01:40:41,20.8947,-156.47,80.96,77,40,13.8
42,Chokurdakh,RU,2022-12-01 01:39:01,70.6333,147.9167,-3.3,96,100,8.43
43,Busselton,AU,2022-12-01 01:41:57,-33.65,115.3333,70.12,61,69,7.81
44,Tuatapere,NZ,2022-12-01 01:41:57,-46.1333,167.6833,57.31,61,72,13.15
45,Tuktoyaktuk,CA,2022-12-01 01:37:37,69.4541,-133.0374,1.4,85,75,9.22
46,Albany,US,2022-12-01 01:41:42,42.6001,-73.9662,41.65,72,52,12.21
47,Saint-Philippe,RE,2022-12-01 01:41:58,-21.3585,55.7679,72.99,78,32,7.85
