City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,74.82,73,13,14.9,few clouds
1,Eravur,LK,7.7733,81.6095,76.5,85,100,11.39,overcast clouds
2,Belaya Gora,RU,68.5333,146.4167,-46.77,92,36,3.02,scattered clouds
3,Cuamba,MZ,-14.8031,36.5372,71.76,85,92,2.42,light rain
4,Thompson,CA,55.7435,-97.8558,-27.24,75,20,5.75,few clouds
5,Araouane,ML,18.9048,-3.5265,83.84,13,81,5.93,broken clouds
6,Tiksi,RU,71.6872,128.8694,-23.8,100,82,4.27,broken clouds
7,Castro,BR,-24.7911,-50.0119,75.43,77,47,8.93,scattered clouds
8,Kashi,CN,39.4547,75.9797,29.41,34,63,2.24,broken clouds
9,Atuona,PF,-9.8,-139.0333,77.05,77,46,14.27,light rain
10,Busselton,AU,-33.65,115.3333,53.47,87,26,14.74,scattered clouds
11,Chernyshevskiy,RU,63.0128,112.4714,1.8,95,100,9.48,overcast clouds
12,Tuatapere,NZ,-46.1333,167.6833,39.24,90,10,5.17,clear sky
13,Comodoro Rivadavia,AR,-45.8667,-67.5,73.26,21,40,21.85,scattered clouds
14,Hermanus,ZA,-34.4187,19.2345,66.79,59,11,2.42,few clouds
15,Bethel,US,41.3712,-73.414,55.76,77,100,1.01,overcast clouds
16,San Quintin,MX,30.4833,-115.95,60.84,55,81,11.92,broken clouds
17,Hilo,US,19.7297,-155.09,75.27,96,100,4.0,moderate rain
18,Faanui,PF,-16.4833,-151.75,79.65,75,19,17.4,few clouds
19,Mataura,NZ,-46.1927,168.8643,41.49,82,3,5.12,clear sky
20,Meulaboh,ID,4.1363,96.1285,73.76,95,100,3.56,overcast clouds
21,Qaanaaq,GL,77.484,-69.3632,30.69,73,100,10.13,overcast clouds
22,Saint George,US,37.1041,-113.5841,48.25,79,100,3.44,overcast clouds
23,Havre-Saint-Pierre,CA,50.2334,-63.5986,39.2,75,100,9.22,overcast clouds
24,Hobart,AU,-42.8794,147.3294,46.26,86,75,11.5,broken clouds
25,Zhangye,CN,38.9342,100.4517,19.18,74,96,3.69,overcast clouds
26,Leningradskiy,RU,69.3833,178.4167,-1.55,96,90,7.67,overcast clouds
27,Ilulissat,GL,69.2167,-51.1,41.02,60,75,11.5,broken clouds
28,Provideniya,RU,64.3833,-173.3,24.67,76,100,12.39,overcast clouds
29,Moirang,IN,24.5,93.7667,55.87,91,6,0.49,clear sky
30,Kununurra,AU,-15.7667,128.7333,80.58,94,75,0.0,broken clouds
31,Yellowknife,CA,62.456,-114.3525,-33.45,74,20,2.3,few clouds
32,Florianopolis,BR,-27.6146,-48.5012,80.55,78,75,14.97,broken clouds
33,Urucara,BR,-2.5364,-57.76,90.45,49,78,2.04,broken clouds
34,Nikolskoye,RU,59.7035,30.7861,21.09,92,100,8.66,overcast clouds
35,Butaritari,KI,3.0707,172.7902,80.01,83,75,14.27,light rain
36,Victoria,HK,22.2855,114.1577,64.26,78,16,5.01,few clouds
37,Rocha,UY,-34.4833,-54.3333,92.73,22,0,13.42,clear sky
38,Cape Town,ZA,-33.9258,18.4232,69.1,50,0,13.8,clear sky
39,Airai,TL,-8.9266,125.4092,59.67,67,56,1.77,broken clouds
40,Sakakah,SA,29.9697,40.2064,63.97,56,0,8.1,clear sky
41,Bonthe,SL,7.5264,-12.505,81.95,77,47,10.69,scattered clouds
42,Pangnirtung,CA,66.1451,-65.7125,24.8,68,100,19.57,light snow
43,Kodiak,US,57.79,-152.4072,33.31,86,0,4.61,clear sky
44,Raudeberg,NO,61.9875,5.1352,32.86,74,100,27.4,light snow
45,Domodossola,IT,46.1165,8.2931,45.1,67,22,5.37,few clouds
46,Tura,IN,25.5198,90.2201,60.85,89,17,2.98,few clouds
47,Shagonar,RU,51.5333,92.8,-22.83,97,40,1.07,scattered clouds
48,Sitka,US,57.0531,-135.33,39.09,87,100,4.61,moderate rain
49,Parrita,CR,9.5201,-84.3225,87.26,67,6,5.75,clear sky
50,Yakeshi,CN,49.2833,120.7333,-4.09,100,62,6.06,broken clouds
51,Saskylakh,RU,71.9167,114.0833,-6.92,100,100,2.35,light snow
52,Cidreira,BR,-30.1811,-50.2056,75.27,77,36,10.89,scattered clouds
53,Mount Gambier,AU,-37.8333,140.7667,45.99,95,11,4.54,few clouds
54,Laguna,US,38.421,-121.4238,51.08,89,75,8.05,broken clouds
55,Magadi,IN,12.9667,77.2333,69.96,81,94,5.23,overcast clouds
56,Vaini,TO,-21.2,-175.2,77.16,94,75,6.91,broken clouds
57,Toamasina,MG,-18.1667,49.3833,78.8,78,40,3.44,scattered clouds
58,Coahuayana,MX,18.7333,-103.6833,87.94,55,7,4.99,clear sky
59,Sioux Lookout,CA,50.1001,-91.917,-7.53,77,100,4.61,overcast clouds
60,Ponta Do Sol,PT,32.6667,-17.1,69.01,89,98,15.46,moderate rain
61,Cedar City,US,37.6775,-113.0619,33.4,93,100,4.61,overcast clouds
62,Rapid Valley,US,44.0625,-103.1463,26.8,77,0,24.16,clear sky
63,Hermosillo,MX,29.0667,-110.9667,74.25,57,46,1.99,scattered clouds
64,Ushuaia,AR,-54.8,-68.3,42.42,75,75,24.16,light rain
65,Tiznit,MA,29.5833,-9.5,63.03,62,100,5.53,overcast clouds
66,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,83,75,9.22,light intensity drizzle
67,Salalah,OM,17.0151,54.0924,75.31,70,0,5.41,clear sky
68,Haines Junction,CA,60.7522,-137.5108,12.83,99,98,1.14,overcast clouds
69,Toa Alta,PR,18.3883,-66.2482,84.15,67,19,11.97,few clouds
70,Iqaluit,CA,63.7506,-68.5145,19.13,73,75,16.11,broken clouds
71,Mozarlandia,BR,-14.7447,-50.5706,84.78,63,100,4.52,overcast clouds
72,Floha,DE,50.8561,13.0741,36.48,92,100,3.0,snow
73,Shelopugino,RU,51.6514,117.5599,-6.12,96,19,3.78,few clouds
74,Odienne,CI,9.51,-7.5692,84.81,29,35,4.18,scattered clouds
75,Jardim,BR,-21.4803,-56.1381,85.95,58,75,3.78,broken clouds
76,Carnarvon,AU,-24.8667,113.6333,69.62,80,7,15.3,clear sky
77,Severo-Kurilsk,RU,50.6789,156.125,30.65,81,92,13.58,light snow
78,Saint-Alexandre,FR,44.2278,4.6214,40.3,79,14,7.56,few clouds
79,Soe,ID,-9.8607,124.284,65.44,76,73,3.89,broken clouds
80,Dingle,PH,10.9995,122.6711,74.12,92,43,7.14,scattered clouds
81,East London,ZA,-33.0153,27.9116,67.14,77,20,8.05,few clouds
82,Albany,US,42.6001,-73.9662,50.95,89,100,5.86,overcast clouds
83,Dalbandin,PK,28.8947,64.4101,56.12,29,0,4.94,clear sky
84,Isangel,VU,-19.55,169.2667,79.2,82,100,0.6,overcast clouds
85,Dengfeng,CN,34.4553,113.0281,38.1,56,77,2.06,broken clouds
86,Lompoc,US,34.6391,-120.4579,57.78,94,0,10.36,clear sky
87,Los Llanos De Aridane,ES,28.6585,-17.9182,71.35,92,40,10.36,scattered clouds
88,Ketchikan,US,55.3422,-131.6461,36.07,93,100,4.61,overcast clouds
89,New Norfolk,AU,-42.7826,147.0587,45.9,76,29,2.33,scattered clouds
90,Torbay,CA,47.6666,-52.7314,37.58,97,100,11.01,fog
91,Srednekolymsk,RU,67.45,153.6833,-27.27,96,100,10.6,overcast clouds
92,Kaitangata,NZ,-46.2817,169.8464,44.83,75,20,8.23,few clouds
93,Ribeira Grande,PT,38.5167,-28.7,59.4,77,40,17.0,moderate rain
94,Shache,CN,38.4167,77.2406,24.39,39,0,2.59,clear sky
95,Narsaq,GL,60.9167,-46.05,34.36,98,100,5.53,snow
96,Nalut,LY,30.3333,10.85,69.13,16,50,8.48,scattered clouds
97,Jati,PK,24.3539,68.2671,71.13,22,0,7.72,clear sky
98,Hami,CN,42.8,93.45,22.51,38,90,0.87,overcast clouds
99,Ancud,CL,-41.8697,-73.8203,62.22,73,86,7.81,overcast clouds
100,Rio Gallegos,AR,-51.6226,-69.2181,51.85,22,40,33.38,scattered clouds
101,Kapaa,US,22.0752,-159.319,77.32,89,40,8.05,light rain
102,Porto Walter,BR,-8.2686,-72.7439,96.28,33,36,2.3,scattered clouds
103,Jamestown,US,42.097,-79.2353,42.94,62,100,6.91,overcast clouds
104,Bengkulu,ID,-3.8004,102.2655,75.6,89,99,3.53,overcast clouds
105,Saint-Philippe,RE,-21.3585,55.7679,78.39,85,54,12.93,light rain
106,Broken Hill,AU,-31.95,141.4333,73.35,35,100,11.01,overcast clouds
107,Linkou,CN,45.3,130.2833,11.28,85,100,7.05,overcast clouds
108,Constitucion,CL,-35.3333,-72.4167,71.02,60,6,17.31,clear sky
109,Hella,NO,67.2,14.4333,32.14,87,100,6.91,overcast clouds
110,Kumbhraj,IN,24.3667,77.05,59.04,39,0,4.5,clear sky
111,Talara,PE,-4.5772,-81.2719,79.56,53,0,14.97,clear sky
112,Kahului,US,20.8947,-156.47,75.85,83,20,4.61,few clouds
113,Tete,MZ,-16.1564,33.5867,95.09,36,40,20.71,scattered clouds
114,Lodwar,KE,3.1191,35.5973,84.0,47,37,15.82,scattered clouds
115,Necochea,AR,-38.5473,-58.7368,75.2,52,100,18.05,overcast clouds
116,Ondjiva,AO,-17.0667,15.7333,83.71,17,15,7.29,few clouds
117,Mitsamiouli,KM,-11.3847,43.2844,80.26,79,17,10.13,few clouds
118,Beni Suef,EG,29.0731,31.0979,62.1,53,23,5.39,few clouds
119,Camacupa,AO,-12.0167,17.4833,64.6,82,58,4.05,broken clouds
120,Bluff,NZ,-46.6,168.3333,41.81,77,4,16.67,clear sky
121,Punta Arenas,CL,-53.15,-70.9167,48.31,43,20,34.52,few clouds
122,Yulara,AU,-25.2406,130.9889,82.38,35,66,14.65,broken clouds
123,Salta,AR,-24.7859,-65.4117,93.79,29,20,12.66,few clouds
